Country,Year,Cell Phones per 100 people,Oil Consumption per person,Traffic Mortality Ages 15-29 per 100000 people
Austria,1990,0.954,1.41,31.9
Austria,1991,1.48,1.5,33.6
Austria,1992,2.2,1.45,29.7
Austria,1993,2.8,1.46,32.1
Austria,1994,3.5,1.42,33.5
Austria,1995,4.8,1.42,28.4
Austria,1996,7.47,1.46,26.3
Austria,1997,14.4,1.48,28.4
Austria,1998,28.5,1.54,21.1
Austria,1999,52.8,1.51,25.3
Austria,2000,75.8,1.47,23.7
Austria,2001,80.8,1.59,20.6
Austria,2002,82.8,1.62,18.7
Austria,2003,89,1.74,18.2
Austria,2004,97.3,1.69,16.8
Austria,2005,105,1.7,14.8
Austria,2006,112,1.71,13.3
Austria,2007,119,1.62,13.4
Austria,2008,130,1.6,12.2
Austria,2009,137,1.53,10.6
Austria,2010,146,1.59,9.97
Austria,2011,154,1.5,7.78
Austria,2012,160,1.47,8.37
Austria,2013,155,1.48,6.16
Austria,2014,150,1.44,5.65
Austria,2015,155,1.44,6.85
Belgium,1990,0.429,2.38,35.6
Belgium,1991,0.512,2.56,34.5
Belgium,1992,0.61,2.61,31.2
Belgium,1993,0.67,2.56,31.1
Belgium,1994,1.26,2.76,33.3
Belgium,1995,2.31,2.72,28.2
Belgium,1996,4.68,2.96,27.3
Belgium,1997,9.53,3.03,26
Belgium,1998,17.2,3.06,2.96
Belgium,1999,31.1,2.94,1.89
Belgium,2000,54.7,3.01,30.9
Belgium,2001,74.6,3,28
Belgium,2002,78.2,3.06,25.2
Belgium,2003,82.6,3.23,20.5
Belgium,2004,87.1,3.22,20.7
Belgium,2005,91.1,3.19,16.6
Belgium,2006,92.7,3.18,16.7
Belgium,2007,100,3.23,17.9
Belgium,2008,105,3.34,14.7
Belgium,2009,108,2.9,14.3
Belgium,2010,111,2.99,13.3
Belgium,2011,113,2.77,12.3
Belgium,2012,111,2.67,9.85
Belgium,2013,110,2.7,9.37
Belgium,2014,113,2.65,9.26
Belgium,2015,113,2.74,8.43
Czech Republic,1990,0,0.817,22.2
Czech Republic,1991,0.012,0.686,23.6
Czech Republic,1992,0.0449,0.655,24.6
Czech Republic,1993,0.136,0.663,24.2
Czech Republic,1994,0.294,0.681,18
Czech Republic,1995,0.472,0.773,18
Czech Republic,1996,1.94,0.809,15.5
Czech Republic,1997,5.09,0.771,18.1
Czech Republic,1998,9.35,0.8,16.3
Czech Republic,1999,18.9,0.795,12.4
Czech Republic,2000,42.2,0.771,14.5
Czech Republic,2001,67.6,0.815,13
Czech Republic,2002,84,0.794,14.8
Czech Republic,2003,94.8,0.85,12.9
Czech Republic,2004,105,0.932,12.6
Czech Republic,2005,115,0.969,12.9
Czech Republic,2006,120,0.954,9.92
Czech Republic,2007,128,0.94,13.3
Czech Republic,2008,132,0.95,11.3
Czech Republic,2009,125,0.922,9.24
Czech Republic,2010,123,0.872,7.54
Czech Republic,2011,125,0.855,9.45
Czech Republic,2012,128,0.846,8.1
Czech Republic,2013,130,0.806,8.7
Czech Republic,2014,131,0.855,8.98
Czech Republic,2015,117,0.842,9.01
Denmark,1990,2.88,1.76,16.3
Denmark,1991,3.41,1.78,15.1
Denmark,1992,4.08,1.75,16.3
Denmark,1993,6.89,1.83,14.2
Denmark,1994,9.66,1.95,15.3
Denmark,1995,15.7,2.02,18.2
Denmark,1996,25.1,2.19,15.4
Denmark,1997,27.4,2.1,13.7
Denmark,1998,36.4,2.02,15
Denmark,1999,49.4,2,17.1
Denmark,2000,63,1.94,15
Denmark,2001,73.9,1.85,12.6
Denmark,2002,83.3,1.78,13.6
Denmark,2003,88.5,1.71,11.5
Denmark,2004,95.6,1.68,10.2
Denmark,2005,101,1.69,9.83
Denmark,2006,107,1.72,9.37
Denmark,2007,115,1.72,7.7
Denmark,2008,119,1.69,10.4
Denmark,2009,124,1.49,9.38
Denmark,2010,116,1.5,6.13
Denmark,2011,128,1.48,4.31
Denmark,2012,130,1.38,4.06
Denmark,2013,125,1.37,3.72
Denmark,2014,126,1.38,3.39
Denmark,2015,124,1.4,4.47
Germany,1990,0.345,1.61,25.6
Germany,1991,0.67,1.67,27.3
Germany,1992,1.22,1.68,25.6
Germany,1993,2.21,1.69,24.5
Germany,1994,3.08,1.67,24
Germany,1995,4.59,1.66,24.1
Germany,1996,6.78,1.69,22.8
Germany,1997,10.2,1.67,22.5
Germany,1998,17.1,1.68,18.1
Germany,1999,28.8,1.62,18.7
Germany,2000,59.2,1.59,18.4
Germany,2001,68.9,1.61,16.4
Germany,2002,72.5,1.56,16.4
Germany,2003,79.4,1.53,14.8
Germany,2004,87.4,1.52,12.9
Germany,2005,97.1,1.5,10.9
Germany,2006,105,1.52,10.4
Germany,2007,118,1.38,10
Germany,2008,130,1.47,9.32
Germany,2009,130,1.41,8.42
Germany,2010,109,1.43,7.45
Germany,2011,112,1.38,8.09
Germany,2012,114,1.37,6.82
Germany,2013,123,1.4,6.09
Germany,2014,122,1.36,5.88
Germany,2015,118,1.35,5.16
Greece,1990,0,1.43,34.7
Greece,1991,0,1.44,36.1
Greece,1992,0,1.45,34.2
Greece,1993,0.456,1.46,33
Greece,1994,1.44,1.5,34
Greece,1995,2.54,1.54,33.6
Greece,1996,4.91,1.6,34.4
Greece,1997,8.6,1.61,31.7
Greece,1998,18.7,1.69,31.7
Greece,1999,35.4,1.62,31.8
Greece,2000,53.5,1.69,29.4
Greece,2001,71.5,1.73,29.5
Greece,2002,83.3,1.73,23.8
Greece,2003,79.7,1.8,26.7
Greece,2004,83,1.78,28.6
Greece,2005,91.4,1.78,28.9
Greece,2006,98.2,1.87,27.2
Greece,2007,111,1.88,27.6
Greece,2008,125,1.78,25.6
Greece,2009,121,1.7,24.7
Greece,2010,113,1.58,21
Greece,2011,112,1.49,18.5
Greece,2012,124,1.34,15.8
Greece,2013,117,1.28,14.3
Greece,2014,113,1.28,13.3
Greece,2015,118,1.33,13.9
Hungary,1990,0.0255,0.894,34.3
Hungary,1991,0.0818,0.773,30.9
Hungary,1992,0.225,0.781,29.7
Hungary,1993,0.441,0.742,22.8
Hungary,1994,1.38,0.785,21.7
Hungary,1995,2.56,0.739,23.1
Hungary,1996,4.58,0.685,15
Hungary,1997,6.85,0.689,14.6
Hungary,1998,10.4,0.723,14.4
Hungary,1999,15.9,0.697,12.8
Hungary,2000,30.1,0.67,13.7
Hungary,2001,48.7,0.656,13.1
Hungary,2002,67.7,0.629,15.4
Hungary,2003,78.3,0.605,14.9
Hungary,2004,86.3,0.627,15.1
Hungary,2005,92.4,0.729,15.5
Hungary,2006,99.1,0.771,14.6
Hungary,2007,110,0.772,14.5
Hungary,2008,122,0.75,12
Hungary,2009,118,0.709,9.33
Hungary,2010,121,0.674,7.96
Hungary,2011,118,0.644,6.62
Hungary,2012,117,0.603,5.51
Hungary,2013,118,0.6,6.63
Hungary,2014,120,0.672,6.26
Hungary,2015,101,0.715,8.17
Israel,1990,0.343,1.97,12.3
Israel,1991,0.501,1.96,9.3
Israel,1992,0.76,1.99,10.4
Israel,1993,1.31,1.99,15.6
Israel,1994,2.61,2.13,16.7
Israel,1995,8.45,2.32,14.7
Israel,1996,19.3,2.26,12
Israel,1997,30,2.07,12.9
