Country,Indicator,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,"Air transport, passengers carried",..,..,..,1999127,2279341.18,1737962.126,2044188,2209428,1929907,1917924,1647425,1722612.61
Albania,"Air transport, passengers carried",238913,243691,231263,768533,829778.9239,814339.7303,865848,151632,..,26634,204090,303137
Algeria,"Air transport, passengers carried",2813018,2884506,4370917,3372283,3543663,4082595,4492436.963,5021288.963,5400896,6093416,6230157,6442442
American Samoa,"Air transport, passengers carried",..,..,..,49772.7887,50641.72277,56096.97968,72240,76944,..,..,..,..
Andorra,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Angola,"Air transport, passengers carried",277361,283887,274869,1010194,987798,1132424,1321872,1409952,1244491,1482546,1375523,1516628
Antigua and Barbuda,"Air transport, passengers carried",800207,813010,747969,1554309,1424420.155,1310276.413,1218000,1216152,1039810,1042929,590517,580174.1568
Argentina,"Air transport, passengers carried",7036784,6147290,5694547,9025035.312,8590839.85,9375669.74,11951276.82,12121912.82,14245183,15076354,16749271,18081937
Armenia,"Air transport, passengers carried",560626,623688,653320,704753,392312,364733,45000,0,..,..,..,..
Aruba,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,223502,274280
Australia,"Air transport, passengers carried",48728837,51488427,50026967,60640913,63360310.34,66355274,68197955,68123237.67,69779346,72446421,74257326,75667645.03
Austria,"Air transport, passengers carried",9140909,9140680,8520740,13493793,14088251.66,14518841.05,15037454,15210489,14718641,14724774,16171640,12935505
Azerbaijan,"Air transport, passengers carried",1440700,756338,839514,796698,1348414,1560084,1651710,1770192,1803112,1961639,2331308,2279546
"Bahamas, The","Air transport, passengers carried",1089636,1088876,979042,967914,1056129.595,1048391.067,576996,991463.3289,900028,937476,921470,1197116.197
Bahrain,"Air transport, passengers carried",..,..,5215512,6028980,5590998.041,5861786.999,4626648,5171496,5313756,5220218,5190484,5877003
Bangladesh,"Air transport, passengers carried",1242865,1224222,1409414,1818901.019,2022388.572,2195061.68,2781708,3051914.733,3997815,3815869,4660739.038,5984155.212
Barbados,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
