Country,Year,Municipal Waste
Australia,2007,615.452
Australia,2008,613.929
Australia,2009,612.39
Australia,2010,610.887
Australia,2011,596.77
Australia,2012,592.576
Australia,2013,588.894
Australia,2014,585.555
Australia,2015,585.104
Australia,2016,558.017
Australia,2017,559.333
Austria,2005,573.286
Austria,2006,595.328
Austria,2007,595.532
Austria,2008,599.039
Austria,2009,587.746
Austria,2010,558.957
Austria,2011,568.628
Austria,2012,574.355
Austria,2013,573.293
Austria,2014,560.926
Austria,2015,557.229
Austria,2016,563.42
Austria,2017,568.895
Austria,2018,575.726
Belguim,2005,479.041
Belguim,2006,481.646
Belguim,2007,490.104
Belguim,2008,476.929
Belguim,2009,464.311
Belguim,2010,454.528
Belguim,2011,456.042
Belguim,2012,446.017
Belguim,2013,436.352
Belguim,2014,424.374
Belguim,2015,411.29
Belguim,2016,417.968
Belguim,2017,409.104
Belguim,2018,409.156
Czechia,2005,287.966
Czechia,2006,295.088
Czechia,2007,292.058
Czechia,2008,304.645
Czechia,2009,315.594
Czechia,2010,316.423
Czechia,2011,317.796
Czechia,2012,305.539
Czechia,2013,304.937
Czechia,2014,307.86
Czechia,2015,314.802
Czechia,2016,337.099
Czechia,2017,342.35
Czechia,2018,349.928
Denmark,2005,735.931
Denmark,2006,738.573
Denmark,2007,788.494
Denmark,2008,829.433
Denmark,2009,761.076
Denmark,2011,827.515
Denmark,2012,775.276
Denmark,2013,774.368
Denmark,2014,769.924
Denmark,2015,780.495
Denmark,2016,784.578
Denmark,2017,786.599
Denmark,2018,771.193
Finland,2005,476.485
Finland,2006,492.677
Finland,2007,504.914
Finland,2008,520.355
Finland,2009,479.572
Finland,2010,469.456
Finland,2011,504.449
Finland,2012,505.654
Finland,2013,493.024
Finland,2014,481.539
Finland,2015,499.584
Finland,2016,503.469
Finland,2017,510.143
Finland,2018,550.663
France,2005,530.185
France,2006,536.483
France,2007,542.934
France,2008,538.724
France,2009,534.68
France,2010,534.627
France,2011,534.52
France,2012,527.034
France,2013,519.656
France,2014,518.479
France,2015,517.647
France,2016,522.265
France,2017,527.193
France,2018,527.259
Germany,2005,570.508
Germany,2006,569.838
Germany,2007,589.177
Germany,2008,596.639
Germany,2009,599.086
Germany,2010,609.165
Germany,2011,621.317
Germany,2012,614.516
Germany,2013,610.661
Germany,2014,627.4
Germany,2015,631.21
Germany,2016,634.27
Germany,2017,626.555
Germany,2018,613.694
Greece,2005,432.347
Greece,2006,440.501
Greece,2007,449.77
Greece,2008,459.86
Greece,2009,470.287
Greece,2010,543.46
Greece,2011,515.833
Greece,2012,506.719
Greece,2013,491.97
Greece,2014,496.661
Greece,2015,495.04
Greece,2016,505.596
Greece,2017,512.326
Hungary,2005,460.641
Hungary,2006,468.493
Hungary,2007,458.243
Hungary,2008,455.671
Hungary,2009,432.956
Hungary,2010,406.251
Hungary,2011,384.915
Hungary,2012,404.284
Hungary,2013,380.113
Hungary,2014,387.048
Hungary,2015,379.631
Hungary,2016,381.525
Hungary,2017,387.263
Hungary,2018,384.136
Iceland,2005,518.681
Iceland,2006,570.532
Iceland,2007,570.15
Iceland,2008,669.12
Iceland,2009,417.64
Iceland,2010,480.757
Iceland,2011,488.447
Iceland,2012,503.605
Iceland,2013,510.411
Iceland,2014,532.572
Iceland,2015,589.263
Iceland,2016,661.939
Iceland,2017,673.758
Ireland,2005,734.252
Ireland,2006,800.024
Ireland,2007,785.661
Ireland,2008,730.157
Ireland,2009,657.01
Ireland,2010,624.901
Ireland,2011,614.885
Ireland,2012,584.285
Ireland,2014,566.049
Ireland,2016,588.437
Ireland,2017,582.343
Italy,2005,543.366
Italy,2006,555.424
Italy,2007,553.824
Italy,2008,550.914
Italy,2009,543.214
Italy,2010,546.816
Italy,2011,526.707
Italy,2012,500.906
Italy,2013,491.517
Italy,2014,490.849
Italy,2015,487.368
Italy,2016,496.381
Italy,2017,487.394
Italy,2018,497.548
Japan,2005,410.828
Japan,2006,405.1
Japan,2007,395.474
Japan,2008,374.253
Japan,2009,359.783
Japan,2010,352.872
Japan,2011,353.544
Japan,2012,352.225
Japan,2013,349.72
Japan,2014,345.771
Japan,2015,343.641
Japan,2016,337.891
Japan,2017,336.416
South Korea,2005,362.723
South Korea,2006,364.727
South Korea,2007,374.754
South Korea,2008,386.439
South Korea,2009,376.534
South Korea,2010,362.151
South Korea,2011,358.754
South Korea,2012,357.187
South Korea,2013,353.277
South Korea,2014,360.003
South Korea,2015,368.041
South Korea,2016,384.968
Luxembourg,2005,683.118
Luxembourg,2006,692.962
Luxembourg,2007,701.957
Luxembourg,2008,701.868
Luxembourg,2009,681.01
Luxembourg,2010,677.825
Luxembourg,2011,664.982
Luxembourg,2012,651.946
Luxembourg,2013,616.927
Luxembourg,2014,627.845
Luxembourg,2015,610.42
Luxembourg,2016,612.191
Luxembourg,2017,619.216
Luxembourg,2018,613.94
Mexico,2005,333.992
Mexico,2006,335.952
Mexico,2007,337.683
Mexico,2008,339.258
Mexico,2009,340.776
Mexico,2010,351.106
Mexico,2011,354.919
Mexico,2012,359.011
Netherlands,2005,596.866
Netherlands,2006,593.731
Netherlands,2007,601.091
Netherlands,2008,595.602
Netherlands,2009,585.696
Netherlands,2010,568.486
Netherlands,2011,566.31
Netherlands,2012,548.064
Netherlands,2013,524.831
Netherlands,2014,526.505
Netherlands,2015,523.423
Netherlands,2016,521.692
Netherlands,2017,516.528
Netherlands,2018,516.191
New Zealand,2006,753.962
New Zealand,2010,579.397
New Zealand,2011,568.496
New Zealand,2012,562.61
New Zealand,2013,594
New Zealand,2014,641.704
New Zealand,2015,698.012
New Zealand,2016,730.802
New Zealand,2017,740.318
New Zealand,2018,781.13
Norway,2005,429.128
Norway,2006,462.576
Norway,2007,494.841
Norway,2008,492.028
Norway,2009,474.827
Norway,2010,469.721
Norway,2011,485.618
Norway,2012,477.092
Norway,2013,495.715
Norway,2014,423.051
Norway,2015,420.633
Norway,2016,751.516
Norway,2017,745.651
Norway,2018,735.655
Poland,2005,317.157
Poland,2006,318.998
Poland,2007,319.764
Poland,2008,317.91
Poland,2009,314.274
Poland,2010,313.907
Poland,2011,316.793
Poland,2012,316.111
Poland,2013,296.006
Poland,2014,271.192
Poland,2015,285.612
Poland,2016,306.771
Poland,2017,315.362
Poland,2018,329.232
Portugal,2005,450.086
Portugal,2006,463.257
Portugal,2007,468.818
Portugal,2008,516.014
Portugal,2009,518.709
Portugal,2010,516.316
Portugal,2011,491.889
Portugal,2012,455.066
Portugal,2013,441.337
Portugal,2014,454.311
Portugal,2015,461.846
Portugal,2016,475.992
Portugal,2017,488.717
Portugal,2018,510.616
Slovakia,2005,271.875
Slovakia,2006,282.288
Slovakia,2007,292.453
Slovakia,2008,312.069
Slovakia,2009,306.117
Slovakia,2010,317.809
Slovakia,2011,310.056
Slovakia,2012,305.543
Slovakia,2013,302.947
Slovakia,2014,318.822
Slovakia,2015,327.854
Slovakia,2016,346.836
Slovakia,2017,377.336
Slovakia,2018,413.063
Spain,2005,583.451
Spain,2006,585.961
Spain,2007,575.71
Spain,2008,549.546
Spain,2009,538.988
Spain,2010,506.582
Spain,2011,481.529
Spain,2012,465.255
Spain,2013,451.395
Spain,2014,445.432
Spain,2015,453.33
